skills,projects,internships,certifications,cgpa,target_role
linux gcp azure terraform aws cloud security,4,1,5,6.8,Cloud Engineer
python pandas tensorflow data analysis machine learning,3,1,1,6.7,Data Scientist
postgresql django fastapi python,2,1,2,6.6,Python Developer
dbms java sql system design,1,3,4,7.2,Software Engineer
postgresql fastapi flask django,1,1,2,8.7,Python Developer
django fastapi flask python,5,2,3,9.6,Python Developer
dbms system design oops sql dsa java,3,0,2,7.0,Software Engineer
docker github actions linux kubernetes terraform,4,3,1,7.5,DevOps Engineer
python excel sql tableau statistics mlops,3,2,0,7.2,Data Analyst
python fastapi postgresql flask django,5,3,3,9.1,Python Developer
statistics excel tableau power bi,5,3,5,9.3,Data Analyst
fastapi flask postgresql django python,3,1,4,9.0,Python Developer
hibernate spring boot rest api mysql,1,1,4,7.4,Java Developer
deep learning pytorch mlops computer vision python tensorflow,5,0,5,8.7,ML Engineer
tensorflow statistics data analysis machine learning,3,3,5,7.6,Data Scientist
tensorflow data analysis machine learning python,4,1,4,6.9,Data Scientist
llm python langchain vector database rag prompt engineering,3,0,5,7.6,AI Engineer
statistics data visualization excel sql python tableau power bi,3,0,3,7.6,Data Analyst
linux docker jenkins terraform github actions kubernetes,1,3,0,8.9,DevOps Engineer
aws linux gcp terraform,5,1,4,6.7,Cloud Engineer
vector database python prompt engineering transformers llm rag langchain,1,2,0,8.0,AI Engineer
jenkins docker github actions linux,2,0,3,8.2,DevOps Engineer
azure terraform gcp linux,1,2,0,9.4,Cloud Engineer
java spring boot mysql rest api hibernate,2,3,0,7.4,Java Developer
gcp aws cloud security terraform linux azure mysql,5,1,1,8.7,Cloud Engineer
power bi statistics python tableau sql excel data visualization mysql,3,0,4,9.2,Data Analyst
mysql hibernate java rest api,2,3,1,6.5,Java Developer
sql dbms dsa java system design oops hibernate,5,2,3,6.9,Software Engineer
transformers python rag llm vector database langchain prompt engineering,5,1,2,8.4,AI Engineer
data visualization excel python statistics sql tableau power bi,4,0,4,8.9,Data Analyst
vector database llm langchain prompt engineering rag transformers,1,0,3,9.2,AI Engineer
system design dsa dbms sql oops rag,1,1,3,8.8,Software Engineer
deep learning tensorflow nlp python,1,0,1,6.9,ML Engineer
oops system design dbms java,4,0,1,6.6,Software Engineer
java spring boot mysql hibernate,2,2,5,8.5,Java Developer
tensorflow deep learning pytorch computer vision nlp python,1,2,4,8.4,ML Engineer
kubernetes linux jenkins github actions,3,2,3,7.7,DevOps Engineer
flask postgresql python fastapi,2,3,4,9.7,Python Developer
rest api hibernate java mysql spring boot,2,1,4,7.3,Java Developer
statistics data analysis tensorflow machine learning python,2,3,0,7.7,Data Scientist
data visualization statistics sql power bi tableau excel python,3,2,4,9.8,Data Analyst
