resume_skills,jd_skills,projects,internships,certifications,cgpa,ats_score
data analysis numpy statistics tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,1,2,1,9.6,78.59
github actions kubernetes docker linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,5,0,2,8.4,92.2
rag sql nodejs transformers vector database,python llm rag langchain transformers vector database prompt engineering,2,1,0,9.6,43.94
deep learning computer vision nlp tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,3,1,5,8.0,84.79
system design sql dsa java dbms,java dsa oops dbms system design sql,4,1,4,6.9,82.95
power bi azure aws linux terraform,aws azure gcp cloud security terraform linux,3,0,3,7.2,64.1
power bi sql tableau langchain statistics data visualization python,python sql power bi excel tableau statistics data visualization,4,3,3,7.2,89.39
java azure numpy pandas,python machine learning statistics pandas numpy tensorflow data analysis,4,2,2,8.9,42.88
statistics data analysis jenkins,python machine learning statistics pandas numpy tensorflow data analysis,5,3,5,8.0,51.93
data analysis llm statistics machine learning pytorch tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,5,0,2,7.3,80.94
github actions kubernetes linux terraform jenkins,docker kubernetes linux jenkins terraform github actions,1,0,4,8.0,74.5
power bi sql tableau statistics computer vision data visualization python excel,python sql power bi excel tableau statistics data visualization,2,0,5,7.8,90.4
langchain vector database,python llm rag langchain transformers vector database prompt engineering,2,3,0,9.1,38.98
mlops deep learning nlp terraform,python tensorflow pytorch deep learning nlp computer vision mlops,5,1,2,7.5,51.89
github actions kubernetes docker linux terraform jenkins pandas,docker kubernetes linux jenkins terraform github actions,1,1,2,8.4,87.2
statistics python css tensorflow,python machine learning statistics pandas numpy tensorflow data analysis,5,0,4,6.9,51.59
cloud security linux aws terraform gcp,aws azure gcp cloud security terraform linux,2,3,5,9.0,87.5
data analysis aws numpy statistics transformers machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,2,2,1,7.6,90.3
transformers prompt engineering langchain python,python llm rag langchain transformers vector database prompt engineering,1,3,2,8.8,61.26
rag system design azure cloud security aws gcp,aws azure gcp cloud security terraform linux,3,0,0,7.9,59.95
express nodejs css javascript,react nodejs mongodb javascript html css express,4,3,5,7.4,71.06
azure cloud security aws terraform dsa,aws azure gcp cloud security terraform linux,3,1,3,9.1,68.05
react css mongodb express nodejs statistics javascript html,react nodejs mongodb javascript html css express,1,3,0,8.8,90.4
mlops deep learning computer vision tensorflow python pytorch,python tensorflow pytorch deep learning nlp computer vision mlops,1,0,4,9.5,77.04
linux aws azure,aws azure gcp cloud security terraform linux,2,2,0,6.7,50.85
github actions css express nodejs vector database javascript html,react nodejs mongodb javascript html css express,1,0,2,8.3,62.72
system design sql dsa deep learning oops nlp,java dsa oops dbms system design sql,2,3,0,7.2,66.6
data analysis numpy statistics machine learning tensorflow python pandas,python machine learning statistics pandas numpy tensorflow data analysis,1,3,3,8.3,94.65
power bi excel sql numpy,python sql power bi excel tableau statistics data visualization,5,3,0,8.5,55.39
mongodb nodejs css javascript,react nodejs mongodb javascript html css express,5,1,4,9.0,66.36
rag sql llm vector database python excel,python llm rag langchain transformers vector database prompt engineering,3,0,3,7.2,56.96
system design sql dsa java oops dbms,java dsa oops dbms system design sql,2,3,0,8.5,92.25
java jenkins sql,java dsa oops dbms system design sql,1,2,4,7.0,42.5
statistics transformers java data visualization excel,python sql power bi excel tableau statistics data visualization,4,2,4,7.1,55.69
react css docker express nodejs dsa html,react nodejs mongodb javascript html css express,1,2,0,7.7,65.42
system design dsa java oops jenkins javascript,java dsa oops dbms system design sql,3,3,1,8.8,70.9
system design sql oops java dsa machine learning dbms,java dsa oops dbms system design sql,2,0,1,9.0,85.0
mongodb llm dbms javascript html,react nodejs mongodb javascript html css express,2,0,0,7.9,40.09
statistics system design sql numpy,java dsa oops dbms system design sql,5,1,3,8.5,46.75
statistics data analysis terraform,python machine learning statistics pandas numpy tensorflow data analysis,1,3,5,6.7,43.28
github actions kubernetes docker linux terraform oops statistics,docker kubernetes linux jenkins terraform github actions,5,2,0,9.2,83.1
system design sql oops java dsa dbms,java dsa oops dbms system design sql,4,1,3,7.1,94.05
mongodb mlops deep learning computer vision java pytorch tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,1,3,2,7.7,71.42
mlops deep learning computer vision nlp pytorch python tensorflow,python tensorflow pytorch deep learning nlp computer vision mlops,5,1,1,6.9,92.95
rag langchain transformers dbms vector database python,python llm rag langchain transformers vector database prompt engineering,2,3,2,7.5,62.61
